metric,delta_definition,mean_delta,ci_2_5,ci_97_5
log_loss,anchored_minus_unanchored,-0.005341881309821146,-0.013858438018486801,0.0020600987990523375
macro_f1,anchored_minus_unanchored,0.004095644789134731,-0.006264870231804995,0.016776930098632098
brier_multiclass,anchored_minus_unanchored,-0.003396973522842134,-0.009189744238492632,0.0017101886567464355
brier_macro_ovr,anchored_minus_unanchored,-0.0011323245076140442,-0.003063248079497579,0.000570062885582091
ece_10bin,anchored_minus_unanchored,-0.009260837821668148,-0.03444148681846653,0.01852487376708294
class_change_rate,anchored_minus_unanchored,-0.010293333333333333,-0.023333333333333317,0.0
