evidence_group,candidates,unanchored_class_changes,unanchored_class_change_rate,experimental_anchored_class_changes,experimental_anchored_class_change_rate,mean_total_variation_change,median_total_variation_change,max_total_variation_change,mean_absolute_probability_change,mean_p_review_warranted_change
meaningful_new_evidence,11447,4669,0.40787979383244516,4669,0.40787979383244516,0.0962983833057654,0.08670613540603019,0.3685161860124684,0.06419892220384359,0.005677403520956184
effectively_no_meaningful_update,502,147,0.29282868525896416,0,0.0,0.10127572707731501,0.09424437010977155,0.2632779104725491,0.06751715138487667,-0.0009820607212144622
weak_minor_update,51,21,0.4117647058823529,16,0.3137254901960784,0.08438293834622929,0.07986486542111704,0.22017286422158494,0.056255292230819515,0.02290670303621049
