phase,feature,labeled_count,unlabeled_count,labeled_mean,unlabeled_mean,standardized_mean_difference,ks_statistic,labeled_missing_rate,unlabeled_missing_rate,missing_rate_difference,warning
T0,linked_record_count,300,11700,12.16,12.011965811965812,0.06962361382046411,0.04974358974358983,0.0,0.0,0.0,False
T0,source_diversity,300,11700,4.923333333333333,4.894358974358974,0.05886927302425352,0.013076923076923076,0.0,0.0,0.0,False
T0,state_missing_ratio,300,11700,0.025178481649069877,0.024884829773836842,0.006433971736196415,0.013076923076923097,0.0,0.0,0.0,False
T0,link_confidence_mean,300,11700,0.9565221823208897,0.9570333245110496,-0.0654585841570081,0.04051282051282057,0.0,0.0,0.0,False
T0,oos_share_known_state,300,11700,0.49806133371845446,0.496691991852255,0.013493772627175405,0.04324786324786323,0.0,0.0,0.0,False
T0,distinct_oos_states,300,11700,1.08,1.0536752136752137,0.09026784736456303,0.022136752136752147,0.0,0.0,0.0,False
T0,active_address_oos_count,300,11700,0.3466666666666667,0.37846153846153846,-0.06170161832380214,0.026752136752136724,0.0,0.0,0.0,False
T0,active_address_de_count,300,11700,0.4033333333333333,0.36034188034188036,0.08472783751083701,0.03589743589743588,0.0,0.0,0.0,False
T0,active_oos_credential_count,300,11700,0.5266666666666666,0.5124786324786325,0.02339351709303648,0.012564102564102564,0.0,0.0,0.0,False
T0,active_de_credential_count,300,11700,0.5466666666666666,0.5126495726495727,0.05571202185117266,0.020769230769230873,0.0,0.0,0.0,False
T0,de_count_90d,300,11700,0.49333333333333335,0.5082905982905983,-0.020847082936514133,0.01905982905982906,0.0,0.0,0.0,False
T0,historical_oos_count_over_365d,300,11700,4.0633333333333335,4.07025641025641,-0.004356516589493067,0.03341880341880343,0.0,0.0,0.0,False
T0,days_since_latest_oos,300,11691,181.82333333333332,186.48276451971603,-0.02388005319843384,0.04883329056539215,0.0,0.0007692307692307692,-0.0007692307692307692,False
T0,latest_oos_recency_advantage_days,300,11684,8.946666666666667,2.5798527901403627,0.0231602671680327,0.06447107155083875,0.0,0.0013675213675213675,-0.0013675213675213675,False
T0,historical_oos_only,300,11700,0.13666666666666666,0.13846153846153847,-0.005197453292043661,0.0017948717948716997,0.0,0.0,0.0,False
T0,oos_decay_share_365d,300,11700,0.5026277671671529,0.4990931245719406,0.02244214277354062,0.07350427350427347,0.0,0.0,0.0,False
T0,recent_oos_independent_source_count_90d,300,11700,0.54,0.5058974358974359,0.04799904774155211,0.025470085470085557,0.0,0.0,0.0,False
