phase,class,precision,recall,f1,support
T0,review_warranted,0.46153846153846156,0.4666666666666667,0.46408839779005523,90
T0,review_not_warranted,0.46551724137931033,0.5142857142857142,0.48868778280542985,105
T0,insufficient_evidence,0.41935483870967744,0.37142857142857144,0.3939393939393939,105
T1,review_warranted,0.47959183673469385,0.5280898876404494,0.5026737967914439,89
T1,review_not_warranted,0.48214285714285715,0.5,0.4909090909090909,108
T1,insufficient_evidence,0.37777777777777777,0.3300970873786408,0.35233160621761656,103
