phase,metric,bootstrap_mean,ci_2_5,ci_97_5
T0,log_loss,1.0331780194765672,0.997950755302488,1.0709842041866848
T0,macro_f1,0.44870643913636193,0.39299672242349115,0.5046645948206737
T0,brier_multiclass,0.6280061962921053,0.6045966148201137,0.6526742721595616
T0,ece_10bin,0.06954671894123975,0.02864045940804395,0.11990159200233086
T0,average_precision_review_warranted,0.4678210058420003,0.3724754037908413,0.569427507548909
T1,log_loss,1.041549625145778,0.9989889347131531,1.0826648208568528
T1,macro_f1,0.4464155378514876,0.3913276932492082,0.5017018620723127
T1,brier_multiclass,0.6307362542725402,0.6021210843703386,0.6581599306964191
T1,ece_10bin,0.06108525438109375,0.026328623168590602,0.10715860061031982
T1,average_precision_review_warranted,0.49509802657608915,0.3919763944630678,0.6058201811704412
