candidate_record_id,post_60d_active_oos_credential_signal_count,post_60d_combined_title_active_credential_conflict_present,new_meaningful_oos_title_signal_post_60d_present
CAN-NLM2FQOWDX,0,0,0
CAN-71NZ4LLTW0,0,0,0
CAN-0ELVPE0E8Z,0,0,0
CAN-I3PXA23LZ0,0,0,0
CAN-VR0B81LPAT,0,0,0
CAN-1JVUE0ZDL6,0,0,0
CAN-RV93OF6JXL,0,0,0
CAN-T6ZUORBXEU,0,0,0
CAN-U36WPUW3RA,0,0,0
CAN-J3GS6236AW,0,0,0
CAN-6RRN2MTNG4,0,0,0
CAN-Z0CGKQO04W,0,0,0
CAN-3YZWCSOHI9,0,0,0
CAN-LT86W69K2H,0,0,0
CAN-46MO9NSNRF,0,0,0
CAN-YRP1M0OW0R,0,0,0
CAN-18Q1KNHG43,0,0,0
CAN-EG8RAQ3DCT,0,0,0
CAN-JDEJWQ7CVV,0,0,0
CAN-QBCN8GCKZY,0,0,0
CAN-LWMJSXHIC7,0,0,0
CAN-JDCQU5WA5S,0,0,0
CAN-Q7HNG2GSBG,0,0,0
CAN-6NARL779MS,0,0,0
CAN-I6A6TLNAEK,0,0,0
CAN-FMUDUDCCQ1,0,0,0
CAN-6PXEHF8U9A,0,0,0
CAN-77C3LN7F3W,0,0,0
CAN-R2GQ9QC70X,0,0,0
CAN-JFXPNATKCB,0,0,0
CAN-XQ03J0NVRE,0,0,0
CAN-D6N1PRVZX4,0,0,0
CAN-XEBO74HVI2,0,0,0
CAN-NM1ZI3SR0Z,0,0,0
CAN-9MZNFXW1XL,0,0,0
CAN-B08WKL6OXJ,0,0,0
CAN-UU6X53E692,0,0,0
CAN-9JDS02RP60,0,0,0
CAN-2G1JFT6ZTJ,0,0,0
CAN-L0SP7JMIHO,0,0,0
CAN-LLTSKFVXT5,0,0,0
CAN-BI6UPTQNW3,0,0,0
CAN-TELUJ788TA,0,0,0
CAN-MF3YOTPYUG,0,0,0
CAN-U335I66X1L,0,0,0
CAN-EE22T85Z00,0,0,0
CAN-1EDIVO89WQ,0,0,0
CAN-7US9OUHJZZ,0,0,0
CAN-XP0H4OGY4R,0,0,0
CAN-R2K9KWW4IR,0,0,0
CAN-73I5UOYJ8S,0,0,0
CAN-U1Z8R52VZL,0,0,0
CAN-XG27DZO3KB,0,0,0
CAN-P1PYL25ZL9,0,0,0
CAN-1ECQAGI5JP,0,0,0
CAN-N4BSTUTXRQ,0,0,1
CAN-F7ABXDAHZE,0,0,0
CAN-D40KMUYRCC,0,0,0
CAN-84VS7OTHWK,0,0,0
CAN-WM9XMB3PWK,0,0,0
CAN-LGTT4L633J,0,0,0
CAN-2B1096MPJS,0,0,0
CAN-046H2OTGZ2,0,0,0
CAN-MEIBJK60VH,0,0,0
CAN-O4D2DLAWKI,1,1,0
CAN-IL8QQWT5OK,0,0,0
CAN-NEJAGGG787,0,0,0
CAN-GVYIKMFI01,0,0,0
CAN-E8WREAT26H,0,0,0
CAN-UK90NK9MK6,0,0,0
CAN-N475PRCCVF,1,1,0
CAN-T5ACUEME65,0,0,0
CAN-QHZI2LU513,0,0,0
CAN-FPLA3VZS48,0,0,0
CAN-GXJ24HCJNA,0,0,0
CAN-ZT2IKHIVWC,0,0,0
CAN-MUPLMDT834,0,0,0
CAN-OW71KH6RQ7,0,0,0
CAN-G36TJAL2Q4,0,0,0
CAN-B5EQTB2LC6,0,0,0
CAN-O0L31WSOXI,0,0,0
CAN-CJG1ESE5OV,0,0,0
CAN-15LMACETZC,0,0,0
CAN-OQJMDWVDR6,0,0,0
CAN-5SULZ3EPLX,0,0,0
CAN-B71NIJK0PO,0,0,0
CAN-3RND4T0X14,0,0,0
CAN-Z3AKT906IV,0,0,0
CAN-D7OFE7904M,0,0,0
CAN-TH7FSXK3PY,0,0,1
CAN-YQ838YTNHA,0,0,0
CAN-2Z0DNB6RWM,0,0,0
CAN-U2DOG5J182,0,0,0
CAN-2RO39SR77J,0,0,0
CAN-238AB5ILJG,0,0,0
CAN-VZ650TYCSE,0,0,0
CAN-M8GSUMHUBV,0,0,0
CAN-ZXU3GWSYOV,0,0,0
CAN-ODJE98CJ4M,0,0,0
CAN-BA7BKK47E5,0,0,0
CAN-VPVPZMJCKO,1,0,0
CAN-B93C5LMJ1D,0,0,0
CAN-SXZMFLL39T,0,0,0
CAN-A9BVZ5VI2P,0,0,0
CAN-PME4SMBLB0,0,0,1
CAN-FHDP42GS8Z,0,0,0
CAN-RS43Q0NBOV,0,0,0
CAN-Q1Z2W4ETWX,0,0,0
CAN-JKVNCFXC88,0,0,0
CAN-TILN0CJCT7,0,0,0
CAN-ADAXVSSUQF,1,0,0
CAN-MJU9VHX1LM,0,0,0
CAN-EGXGIG4YH3,0,0,0
CAN-KD1SWPBEUL,0,0,0
CAN-V8EZMZD6H1,0,0,0
CAN-9HENFFRV46,0,0,0
CAN-E9ONKPD15H,0,0,0
CAN-M7BPIOIH96,0,0,0
CAN-6Y11Q8U4ES,0,0,0
CAN-O9AGCHKFCR,0,0,0
CAN-VRYEWNRGLR,0,0,0
CAN-Q46VSR3OE1,0,0,0
CAN-WYAA29SJU3,0,0,0
CAN-UJ2IJ4UB9A,0,0,0
CAN-FVNWVK9CAW,0,0,0
CAN-QKAQ046RJ3,0,0,0
CAN-1I4VBWBOUB,0,0,0
CAN-X04I0MT32Q,0,0,0
CAN-R4F5MPCFRW,0,0,0
CAN-PP905GVOL3,0,0,0
CAN-6TCJ68NE5F,0,0,0
CAN-FVCOOEFE96,0,0,0
CAN-QK37TROH55,0,0,0
CAN-PK8S4T200Z,0,0,0
CAN-DWRQLJKRQE,0,0,0
CAN-1NJUOH6PAE,0,0,0
CAN-BENX1VQFJF,0,0,0
CAN-LOM6XIWEA8,0,0,0
CAN-NVAM1XKZYL,0,0,0
CAN-A2939UCI7E,0,0,0
CAN-O9HDMRT9CJ,0,0,0
CAN-74P8UWOUTX,0,0,0
CAN-XZ04SFYWJK,0,0,0
CAN-F6JMQ1V0RP,0,0,0
CAN-S1PMITD76I,0,0,0
CAN-SDCTUKCV9S,0,0,0
CAN-LV5Z3IMMF4,0,0,0
CAN-JP0A0U961M,0,0,0
CAN-Y2M1G8VXH3,0,0,0
CAN-3OXMP61K0O,0,0,0
CAN-ESGY1IJI90,0,0,0
CAN-CQL85QKN14,0,0,0
CAN-VW94BYFHRS,0,0,0
CAN-951YRIQW3Y,0,0,0
CAN-1MKCNQM8CT,2,1,0
CAN-42W13LFLZQ,0,0,0
CAN-79FVQOOKBW,0,0,0
CAN-4CBHWQ1F1L,0,0,0
CAN-U0IB690PWT,0,0,0
CAN-6UI1GM8Q6M,0,0,0
CAN-MG8XYRNB7R,0,0,0
CAN-Z10A1WRYYU,0,0,0
CAN-ZCVRZGDVZO,0,0,0
CAN-90EPRXIVM2,0,0,0
CAN-70O6X3U5EE,0,0,0
CAN-ZTPKFDD2I5,0,0,0
CAN-KJDT7PHHNR,0,0,0
CAN-3WGSA16VB0,1,1,0
CAN-I7ALBD8N6D,0,0,0
CAN-A002XBYABO,0,0,0
CAN-DJ67L9VTNZ,0,0,0
CAN-S2HIC9MUFO,0,0,0
CAN-6GEGC7ZW6I,0,0,0
CAN-N4QFJS875I,0,0,0
CAN-11R1839U50,0,0,0
CAN-EU4R3SDM2F,0,0,0
CAN-VAUMWIHHBF,0,0,0
CAN-X2D1TYHKF2,0,0,0
CAN-GV4QYZUWJP,0,0,0
CAN-BUP5U8C8KA,0,0,0
CAN-LISZRCQXU0,0,0,0
CAN-D8KGEPJ465,0,0,0
CAN-Q070V1JUYZ,0,0,0
CAN-WDYP2JS7IJ,0,0,0
CAN-UO7MNTLNF8,0,0,0
CAN-RGH3OJ5RS0,0,0,0
CAN-HXY28UIBI3,0,0,0
CAN-IOWZGW8YRG,0,0,0
CAN-X11R1PNTQH,0,0,0
CAN-8ZLAGRLH9Z,0,0,0
CAN-SBHARUVC3K,0,0,0
CAN-ZHNM78PYRP,0,0,0
CAN-ZFI3LXQPF7,0,0,0
CAN-JZFCL1LMF2,0,0,0
CAN-OY02RUIUHA,0,0,0
CAN-V23BVE8JED,0,0,0
CAN-OHVI503YC2,0,0,0
CAN-YRYJP3WKT0,0,0,0
CAN-4T5MQ6DTMK,0,0,0
CAN-VT1HTL05FG,0,0,0
CAN-VX0GJQ925U,0,0,0
CAN-YB41B3K2FF,0,0,0
CAN-S905Z3V22F,0,0,0
CAN-7EWA1CEXU0,0,0,0
CAN-G0YNL7EGC4,0,0,0
CAN-2HE66Z1PCJ,0,0,0
CAN-J6L384U1LG,0,0,0
CAN-IPII0E5DLT,0,0,0
CAN-ND96EXI4EE,0,0,0
CAN-SZ3MK97K2Z,0,0,0
CAN-X3LKCF3BUH,0,0,0
CAN-XXHNN3IF5L,0,0,0
CAN-UXHS144R9C,0,0,0
CAN-4J78IMA3Y1,0,0,0
CAN-ZE5TYBKI30,0,0,0
CAN-1DBVHKQRS4,0,0,0
CAN-NL6FBZTAH9,0,0,0
CAN-F94U3N6D7E,0,0,0
CAN-R200K8MNRL,0,0,0
CAN-CQXD0TIS5J,0,0,0
CAN-CX7WHQUW5X,0,0,0
CAN-FW1F6FS1R5,0,0,0
CAN-N8TYV8M53P,0,0,0
CAN-KUKS069BB4,0,0,0
CAN-E5DHE2JD6F,0,0,0
CAN-22C4JMHDD1,0,0,0
CAN-9VYHM0PSVP,0,0,0
CAN-RLOR8BFIES,0,0,0
CAN-4EA5JLIRD2,0,0,0
CAN-5LS40EOPEK,0,0,1
CAN-Z33ALI17FK,0,0,0
CAN-XYO5QC8JI5,0,0,0
CAN-IAN8ZZBEPH,0,0,0
CAN-5QP4935AEU,0,0,0
CAN-48TGU5XPBQ,0,0,0
CAN-SWZFGBMBEE,0,0,0
CAN-SR7RMC873R,0,0,0
CAN-RVVSG9GAPJ,0,0,0
CAN-AN3NGBXQLQ,0,0,0
CAN-P7BG2CLIYN,0,0,0
CAN-BVDFU4FSWE,0,0,0
CAN-DV32LDY5QU,0,0,0
CAN-K5KR8ZL6K4,0,0,0
CAN-0DILQJHEXO,0,0,0
CAN-8S11JFISCS,0,0,0
